Products.status,Products.vendor,Products.list_price,Products.price,Products.cost,Products.Shop_Brn
0.0,1.0,96.14,68.67,52.42,0
0.0,1.0,96.14,68.67,52.42,0
3.0,1.0,205.98,147.13,107.0,1
3.0,1.0,265.99,189.99,152.0,1
0.0,1.0,100.41,71.72,54.75,1
0.0,1.0,102.7,73.36,56.0,1
3.0,1.0,205.98,147.13,107.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,202.13,144.38,105.0,1
0.0,1.0,588.0,420.0,336.0,1
2.0,1.0,47.05,33.61,23.18,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,82.42,58.87,44.94,0
3.0,1.0,22.44,16.03,5.17,1
3.0,1.0,6.09,4.35,0.79,1
0.0,1.0,32.27,23.05,14.87,1
0.0,1.0,32.84,23.46,16.18,1
0.0,1.0,40.88,29.2,20.14,1
3.0,1.0,205.98,147.13,107.0,1
0.0,2.0,171.57,66.95,51.5,0
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,162.81,116.29,84.27,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,89.45,63.89,48.77,1
0.0,1.0,162.81,116.29,84.27,1
0.0,1.0,90.87,64.91,49.55,1
0.0,1.0,162.81,116.29,84.27,1
0.0,1.0,90.87,64.91,49.55,1
0.0,1.0,90.87,64.91,49.55,1
0.0,1.0,162.81,116.29,84.27,1
0.0,2.0,313.0,135.88,106.99,0
0.0,1.0,90.87,64.91,49.55,1
0.0,1.0,162.81,116.29,84.27,1
3.0,1.0,175.81,129.99,91.0,1
3.0,1.0,134.39,95.99,50.03,0
3.0,1.0,81.62,58.3,22.0,1
0.0,1.0,115.26,82.33,62.85,1
3.0,1.0,21.18,15.13,2.75,1
0.0,1.0,231.0,165.0,132.0,1
0.0,1.0,38.07,27.19,18.75,1
0.0,1.0,82.42,58.87,44.94,0
